name,birthDate,comparison,currentPositions,wikidataPositions,rawWikidataPositions,wikidataQid,playerId
Aaron Buchanan Hickey,2002-06-10,DISJOINT,DEF,MID,midfielder,Q64010525,1b158bfa-8eb1-46de-831c-6b9ccf6bdf98
Adam Marušić,1992-10-17,DISJOINT,DEF,ATT,forward,Q16234793,de7078b3-1f1b-43e6-a307-fdbab425aca5
Adrien Thomasson,1993-12-10,DISJOINT,MID,DEF,defender,Q18938815,62ff5f4b-4a7d-48ef-9e7a-5c81ece74003
Albert Guðmundsson,1997-06-15,DISJOINT,ATT,MID,attacking midfielder,Q21171299,2614a153-a870-45de-851f-f03bb44344cd
Alemão,1998-04-01,DISJOINT,ATT,MID,midfielder,Q47464997,6593f95d-7b1b-41fa-85d3-456511c39fcd
Alexandre Lauray,1997-03-18,DISJOINT,MID,DEF,defender,Q63170433,c2622fa9-2536-45a0-886b-5447866b27c8
Alexis Claude-Maurice,1998-06-06,DISJOINT,MID,ATT,forward,Q35537374,8cc70a76-0b6b-4dad-8e4e-0fdec6af787a
Alexis Jesse Saelemaekers,1999-06-27,DISJOINT,ATT,MID,midfielder,Q49166190,bccb84c2-a4eb-4c8e-a346-2d8216eec0ae
Algot Sebastian Nanasi,2002-05-16,DISJOINT,MID,ATT,forward,Q96480192,f41def19-f19d-424b-b6d6-855ed98a74de
Alieu Fadera,2001-11-03,DISJOINT,ATT,MID,midfielder,Q91964356,97ebde5e-1c80-46b4-a9fd-83a65e7ca543
Álvaro García,1992-10-27,DISJOINT,ATT,MID,midfielder,Q14777639,139ae172-51f1-4cea-87d1-9a588563c62c
Amad Diallo Traoré,2002-07-11,DISJOINT,MID,ATT,forward,Q72603655,0d0c4023-5942-4d80-9495-13a97b1464ac
Amine Adli,2000-05-10,DISJOINT,ATT,MID,midfielder,Q66586702,4aa4811a-970e-4a42-99ff-cf8471638a36
Anan Khalaili,2004-09-03,DISJOINT,MID,ATT,forward,Q118206666,e84cb332-6bb8-47e8-b6b7-fda876d3705e
Andrea Cambiaso,2000-02-20,DISJOINT,DEF,MID,midfielder,Q69656941,a325500e-7e6d-4c2a-9073-7916597454cf
Antoine Serlom Semenyo,2000-01-07,DISJOINT,MID,ATT,forward,Q52990659,bb5c8156-f4ed-47a4-a8ed-68d63bc93374
Anton-Leander Donkor,1997-11-11,DISJOINT,DEF,MID + ATT,wing half,Q55820143,83c040e6-f185-4cc1-bb19-0021b9338a7d
Antonio Eromonsele Nordby Nusa,2005-04-17,DISJOINT,MID,ATT,forward,Q107357509,9acc0de0-5181-4a78-90f6-917a8d892a5b
Arthur,2003-03-17,DISJOINT,MID,DEF,defender,Q112182604,084b1eb4-9de9-4c17-b587-97923b67d096
